model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AnomalyTransformer,002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,success,1.8597917556762695,,0.0060207991242474,0.49366740088105726,0.091769683974023,0.5626039684252634,0.011969413122318964,0.0,0.0,0.0,0.976190399466986,MSL
AnomalyTransformer,002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,success,1.7193927764892578,,0.0060207991242474,0.42263215859030834,0.04564117718112964,0.5906345826183854,0.011969413122318964,0.0,0.0,0.0,0.8180518035912913,MSL
AnomalyTransformer,002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,success,1.727747917175293,,0.0060207991242474,0.4402533039647577,0.03168700698756928,0.5285123036298296,0.011969413122318964,0.0,0.0,0.0,0.7116515900047705,MSL
AnomalyTransformer,002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,success,1.721318244934082,,0.0060207991242474,0.4950440528634361,0.07945401312858637,0.530139834730307,0.011969413122318964,0.0,0.0,0.0,0.9750957086309892,MSL
AnomalyTransformer,002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,success,1.7201528549194336,,0.0060207991242474,0.49201541850220265,0.03512576191028169,0.5186668412328607,0.011969413122318964,0.0,0.0,0.0,0.6953853809277266,MSL
AnomalyTransformer,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,success,87.90736842155457,,0.006959059273121125,0.5154860847701495,0.008046022882498411,0.5527979709864105,0.027019771335624866,0.9526952695269527,0.0444444444444444,0.04602543510887596,0.7830377675197046,MITDB
AnomalyTransformer,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,success,87.73739242553711,,0.03294407121537013,0.4989050626162786,0.013635857745215023,0.5317577252870025,0.06645138191966103,1.0,0.9999999999999996,0.33844973138910206,0.9991591492221747,MITDB
AnomalyTransformer,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,success,97.53166270256042,,0.027931854380684996,0.5123214929420371,0.009980786639884628,0.5316208800436376,0.0448424833669532,1.0,0.9999999999999996,0.3460656990068755,0.998948097897928,MITDB
AnomalyTransformer,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,success,87.74308776855469,,0.01808812473729984,0.5224831603986138,0.009466789002348507,0.5434734973303225,0.02912448540720395,1.0,0.9999999999999996,0.3460656990068755,0.9989319783295818,MITDB
AnomalyTransformer,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,success,87.91759157180786,,0.01636486663984646,0.49543837750485004,0.011850429700041977,0.5253671511288868,0.07029513221463457,1.0,0.9999999999999996,0.33589546502690243,0.9989090883448852,MITDB
