file,seed,wall_time_seconds,peak_gpu_memory_bytes,n_samples,n_features,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,2.8304460048675537,0,1827,55,125,0.35859382534445117,0.9863586303564277,0.5857447113543922,0.9961960826850129,0.44443969140885575,0.9565217391304348,0.8571428571428567,0.45544554455445546,0.9971138381961411
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,6.51729941368103,0,100000,2,119,0.011090572502320175,0.736382346182527,0.012105832516468932,0.7614640007010252,0.03828572662538629,0.9106203995793901,0.06691449814126386,0.06920848665153057,0.7628449999672274
078_SMD_id_22_Facility_tr_500_1st_326.csv,42,32.513933420181274,0,23693,38,4,0.3694509631200385,0.8310472864142691,0.14272862856845003,0.5092504293084849,0.4524937395572198,0.6700443318556049,0.29845809621090474,0.17821716475094754,0.6787082340885456
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,42,191.26403188705444,0,217624,25,125,0.18557374487538333,0.6191286519325118,0.17268504456145367,0.5719583128031387,0.26239473898355814,0.8314431138989208,0.2746814922939962,0.1717694685495443,0.7234749037904286
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,42,82.86253643035889,0,9323,248,4,0.1759138346160173,0.8697574024252048,0.17616687935821257,0.8701680189575519,0.27945136713079155,0.9965870307167235,0.4155844155844152,0.23378821538136044,0.7508849044608238
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,42,116.81236100196838,0,195000,17,125,0.04298266808487872,0.6071715217461235,0.04683504757943603,0.5792324503099401,0.08776009329597602,0.3578322896558218,0.09808898893625156,0.11470145378960937,0.66848700682321
166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,42,3.5556745529174805,0,4453,25,6,0.4633569430699498,0.9950522963978506,0.5217813009676435,0.9956066935361153,0.7068919813018449,0.8723404255319149,0.6981132075471693,0.5030674846625767,0.9965207432207672
171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,42,34.95443320274353,0,14996,66,125,0.2464280546295974,0.7708161782748263,0.31123909297676117,0.7913019146344338,0.47886017543425746,0.5978692955954842,0.4912914886625036,0.2865936230877708,0.7958379484176551
173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,42,42.71161365509033,0,138521,9,57,0.054125988050995624,0.6476471059853626,0.03292830870910965,0.6081354610603513,0.1135129744805169,0.2545271629778672,0.06847428652832481,0.07953541530673192,0.6721045798385419
187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,42,25.987123250961304,0,46660,16,125,0.9876224087859828,0.9982044667023097,0.9940319843471943,0.9993174237986314,0.9727456427468024,1.0,0.9999999999999996,0.8832938540559153,0.9989821816114545
