file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,9.635895252227783,0.018724316842284768,0.9071743970315398,0.11799785551304447,0.9544952262667838,0.05627636081309389,0.12935323383084577,0.05561497326203201,0.11207325049051668,0.8517882292817169
002_MSL_id_1_Sensor_tr_500_1st_900.csv,2.8016750812530518,0.35859382534445117,0.9863586303564277,0.5857447113543922,0.9961960826850129,0.44443969140885575,0.9565217391304348,0.8571428571428567,0.45544554455445546,0.9971138381961411
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,6.205644130706787,0.511315956077278,0.8579753738746625,0.4571054970966131,0.8872071301876274,0.5396177390263837,0.8275862068965517,0.6666666666666662,0.42856908711290687,0.8823646152259332
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,5.959336042404175,0.059433962900373505,0.8168320576998248,0.0964855973783582,0.8731427637864961,0.13104705811132494,0.9726027397260274,0.33333333333333304,0.20547945205479454,0.849941529528065
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,9.123938798904419,0.6612324861823152,0.8110630742661875,0.6627188456260671,0.8195866746931129,0.6421968940670658,1.0,0.9999999999999996,0.603307592523021,0.9871031250271117
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,6.934904098510742,0.08149773609869448,0.7848033353178052,0.0950941409990335,0.8150393257145724,0.17747749447414873,0.8184281842818428,0.1851475076297048,0.25611745513866235,0.7491051049678026
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,4.434921503067017,0.8115113621198633,0.9515676725414554,0.709426202563271,0.9344542219539985,0.7582369997883458,0.950354609929078,0.6666666666666662,0.2724538031800602,0.8850531345785925
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,4.892695188522339,0.6909818583927589,0.9964810615604267,0.8925402497305643,0.9992559922214849,0.5945896859426418,1.0,0.9999999999999996,0.6073488218816939,0.9989735372906386
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,3.6959266662597656,0.028208294842100433,0.47935727201576117,0.04464438918181035,0.6066982816046332,0.06423262008990166,0.3854748603351955,0.06338028169014079,0.08079097579687436,0.681830539302907
012_MSL_id_11_Sensor_tr_539_1st_940.csv,3.5409364700317383,0.8772795009328036,0.994565295945653,0.9818629206042152,0.999292102506409,0.8820911394032382,1.0,0.9999999999999996,0.5722379603399435,0.9982991104543174
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,3.654019832611084,0.0280423669906391,0.803437324536777,0.09974133588631234,0.9149392228055303,0.07972184304489228,0.1780821917808219,0.07705192629815737,0.11278195488721804,0.799428485208995
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,11.165766477584839,0.5519456507413699,0.9041447198319112,0.5617996808105357,0.9300208194100394,0.6014994106821272,1.0,0.9999999999999996,0.6826783114992722,0.997280915733816
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,3.861438751220703,0.34926907490091175,0.7429696549297877,0.3521407607352984,0.7528429636598069,0.3944724931634298,1.0,0.9999999999999996,0.37648327939590076,0.947326300859583
016_MSL_id_15_Sensor_tr_500_1st_780.csv,1.3145856857299805,0.3812384763878455,0.8769009509291521,0.3944412067191456,0.8842960906785245,0.4525217511953392,0.8350515463917526,0.6174496644295298,0.3379721275773068,0.9290905613352894
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,3.335120677947998,0.24863022019180342,0.8640183018443811,0.33152160738793973,0.8954152526636355,0.4781997959962682,0.8098434004474273,0.47568988173455945,0.26986333420498493,0.8201379420210912
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,11.544888973236084,0.13950946105846396,0.8199196558262868,0.14778683850255636,0.8273083999859442,0.28106707844989787,0.6280811657360752,0.3066940629393314,0.28635757380121674,0.8090125091734557
019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,9.85478949546814,0.19693625311650267,0.6116178179420726,0.19649754043975282,0.6130731054547981,0.2736138822923552,0.9999462683359304,0.6249999999999994,0.27591317961592265,0.8288299881498101
020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,45.747740507125854,0.0021295579245549892,0.5806948327115891,0.002300484789504397,0.6054823499665204,0.005660431722114384,0.17769857433808553,0.005635721805908212,0.006292005482730472,0.6666878661119097
021_MITDB_id_3_Medical_tr_50000_1st_57595.csv,33.77885699272156,0.10835428404317314,0.6057560403873573,0.08232290295935525,0.6539676955141336,0.171095844759738,0.9921729827129906,0.8522848034006372,0.3102330739201146,0.9617235646656469
022_MITDB_id_4_Medical_tr_50000_1st_54253.csv,20.515517473220825,0.11457697397349019,0.5667075209270698,0.11130889453090659,0.597895283901985,0.17409331156303906,0.863116716689711,0.5830399604718667,0.2158063506342956,0.8060211910901974
024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,13.447017669677734,0.0022466414913106286,0.5583340928183003,0.0024989539396404747,0.5938796869545336,0.00650237633948238,0.10142220945266485,0.006539603321430101,0.009905624015769708,0.8903124999929795
025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,9.997728109359741,0.0515834272381306,0.664527773872016,0.05746836080543388,0.7056631096069171,0.14138262677370222,0.618008527715074,0.1627341439369042,0.11929466818702716,0.8370696625374151
