file,seed,wall_time_seconds,fit_time_seconds,score_time_seconds,infer_per_window_ms,peak_gpu_memory_bytes,param_count,n_samples,n_features,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,1.6825625896453857,1.6825363636016846,0.0,,0,0,1827,55,125,0.28471819513092744,0.6882258710452543,0.19755277930289888,0.9061649583372373,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,1.6609437465667725,1.6609227657318115,0.0,,0,0,1827,55,125,0.28471819513092744,0.6882258710452545,0.1638290939667228,0.9057501821072323,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826
002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,1.6719462871551514,1.6719202995300293,0.0,,0,0,1827,55,125,0.28471819513092744,0.6882258710452543,0.19722950662350203,0.906156427974459,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826
002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,1.6522328853607178,1.6522114276885986,0.0,,0,0,1827,55,125,0.2849404841923297,0.6949839807769325,0.19617397610276932,0.9069130684695935,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826
002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,1.6783154010772705,1.6782870292663574,0.0,,0,0,1827,55,125,0.28471819513092744,0.6882258710452543,0.19572139580341003,0.906098107427405,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,76.60904884338379,76.60902333259583,0.0,,0,0,100000,2,119,0.00477071112197067,0.48923797317210305,0.005274364183629865,0.5206560831424603,0.01918395369333937,0.7908675799086758,0.021101389603705587,0.021687171498041728,0.7340107052496527
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,77.7025420665741,77.70251750946045,0.0,,0,0,100000,2,119,0.00472932499285147,0.4920801179963747,0.005215189630875456,0.5223381960192307,0.01685693085610308,0.665641813989239,0.018592297476759608,0.0187538974930618,0.738996271431561
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,77.03581953048706,77.03579545021057,0.0,,0,0,100000,2,119,0.004743877650630968,0.4916162155342796,0.0053129998384917314,0.5248541314151522,0.018378461121719685,0.5915300546448088,0.02056555269922877,0.021395446951074912,0.7722808211463913
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,76.44617676734924,76.44615340232849,0.0,,0,0,100000,2,119,0.004733249759610706,0.4917540873460142,0.005260110827118249,0.5236363473996036,0.01748673081689406,0.5895166780122533,0.02002145155523773,0.020694400854599223,0.7530305833119104
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,76.86020064353943,76.8601758480072,0.0,,0,0,100000,2,119,0.004802035001621722,0.491196267830468,0.005357021596395061,0.5240922773923753,0.017969365978215874,0.7497835497835498,0.02034144569560477,0.02109456189771575,0.7100097913063774
