file,seed,wall_time_seconds,fit_time_seconds,score_time_seconds,infer_per_window_ms,peak_gpu_memory_bytes,param_count,n_samples,n_features,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,0.25110769271850586,0.18245863914489746,0.045604705810546875,0.03436677152264271,52478976,276109,1827,55,125,0.08183606407771543,0.9654585502603126,0.5173334986687879,0.9876805802588433,0.23404048666378796,0.2857142857142857,0.22680412371133998,0.4507091577657153,0.986416287006371
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,0.24939870834350586,0.18101978302001953,0.0451202392578125,0.03400168745878862,52478976,276109,1827,55,125,0.08197313523512181,0.9656087304765719,0.5244284163954733,0.9877769120955177,0.23404048666378796,0.2894736842105263,0.22680412371133998,0.40720438527799535,0.986416287006371
002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,0.2491312026977539,0.18141961097717285,0.04448223114013672,0.033520897618791796,52478976,276109,1827,55,125,0.08219015663567666,0.9657088506207449,0.5213379965690629,0.987787961105422,0.23404048666378796,0.3013698630136986,0.22916666666666646,0.3044776119402985,0.986416287006371
002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,0.2712528705596924,0.2035057544708252,0.04466581344604492,0.03365924148157115,52478976,276109,1827,55,125,0.0813774831106599,0.9652583099719664,0.5166639546367446,0.9876424359752184,0.23404048666378796,0.2857142857142857,0.22680412371133998,0.40720438527799535,0.986416287006371
002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,0.2771158218383789,0.188035249710083,0.0659952163696289,0.049732642328281014,52478976,276109,1827,55,125,0.0822734792543093,0.9657088506207447,0.5193866004777383,0.9878007183929869,0.23404048666378796,0.2894736842105263,0.22448979591836715,0.42117894105294734,0.986416287006371
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,8.962619304656982,7.48589301109314,1.453711986541748,0.019382826487223306,19448320,11109,100000,2,119,0.009185285461182763,0.7240144397991571,0.010734318976854035,0.7563256700933831,0.028270398850963614,0.6540785498489426,0.030985915492957716,0.04267561735794773,0.8576294660275045
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,9.153570890426636,7.490223407745361,1.640732765197754,0.021876436869303385,19448320,11109,100000,2,119,0.010888555833862825,0.7273616932217193,0.012241180758225782,0.7609512697302628,0.04143973739846256,0.7801801801801802,0.057458563535911535,0.14332568055100034,0.8679884303938754
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,9.144296169281006,7.476593732833862,1.6451733112335205,0.021935644149780276,19448320,11109,100000,2,119,0.009647102793757113,0.7260694581208689,0.010826900676602035,0.7571274591244046,0.02912978061126923,0.5293398533007335,0.029555384219994832,0.04087803909017669,0.8646515600492511
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,9.182848453521729,7.534430503845215,1.6257247924804688,0.02167633056640625,19448320,11109,100000,2,119,0.009460060384788313,0.7266132213918136,0.010798942243269263,0.7589058159580323,0.02908517669151126,0.3681972789115646,0.029146426092990944,0.04039809363610877,0.8560548029927935
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,9.126131534576416,7.500234842300415,1.6041100025177002,0.021388133366902668,19448320,11109,100000,2,119,0.009623984399938003,0.715554192610122,0.010973489755499936,0.7530717636280843,0.029400421176660266,0.5443117536140792,0.030506406345332488,0.040858403995818325,0.8688407105465843
078_SMD_id_22_Facility_tr_500_1st_326.csv,13,1.2632389068603516,0.4282369613647461,0.6950502395629883,0.029968104150519047,42661376,191109,23693,38,4,0.6302858528424766,0.909102610917539,0.32293823248988085,0.6676926665244486,0.7546435387807042,0.8452442159383033,0.5001801369040466,0.42067647879621334,0.7841271730189325
078_SMD_id_22_Facility_tr_500_1st_326.csv,1337,0.8501846790313721,0.17039990425109863,0.656832218170166,0.028320278453419827,42661376,191109,23693,38,4,0.6343431614670307,0.9097458739769557,0.3271530677585842,0.6686629668211358,0.7557269518607483,0.845679012345679,0.500330350171181,0.4207546385629159,0.7829089677465029
078_SMD_id_22_Facility_tr_500_1st_326.csv,17,0.8489208221435547,0.17119717597961426,0.6546182632446289,0.0282248205598512,42661376,191109,23693,38,4,0.6262825210254881,0.9084396940038283,0.3165927716156632,0.6659165653792782,0.7531595712236822,0.8448098663926003,0.5002106783843973,0.4205443780615578,0.7850146850047098
078_SMD_id_22_Facility_tr_500_1st_326.csv,2024,0.8473336696624756,0.171156644821167,0.6529529094696045,0.028153016404501553,42661376,191109,23693,38,4,0.6251750770873568,0.9082551966098198,0.31185506534581114,0.6643898443526125,0.7527124046658927,0.8443759630200308,0.5000601757130817,0.4203916912959092,0.7851910049530122
078_SMD_id_22_Facility_tr_500_1st_326.csv,42,1.2994880676269531,0.49619007110595703,0.6640896797180176,0.028633194486181932,42661376,191109,23693,38,4,0.6295136174727156,0.9089883148979336,0.32357333207965705,0.66757879824315,0.7532770416510975,0.8452442159383033,0.5001202212070204,0.42050132757751907,0.7844995826366267
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,13,23.01950740814209,17.5681369304657,5.428359508514404,0.03238414253635759,35381760,126109,217624,25,125,0.15033365481631866,0.5732136379078594,0.14916860877082383,0.506267563241526,0.2218998572484597,0.797660718859387,0.22632995097889602,0.24891577635890394,0.7136734249156849
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,1337,22.786759853363037,17.3838472366333,5.380312919616699,0.03209750942357121,35381760,126109,217624,25,125,0.1616139695168106,0.608027280737168,0.16082517588877623,0.5369362612129236,0.2428027939570949,0.8020086698999958,0.24877295962592852,0.26496529124217305,0.7038893587710018
