file,seed,wall_time_seconds,fit_time_seconds,score_time_seconds,infer_per_window_ms,peak_gpu_memory_bytes,param_count,n_samples,n_features,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,0.6965649127960205,0.537074089050293,0.13478469848632812,0.10157098604847635,1106043392,75231,1827,55,125,0.0151878020896131,0.7658189827793352,0.12964022027579714,0.926007791706586,0.037656454111564916,0.14473684210526316,0.03418803418803416,0.046875,0.9740010177947989
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,0.7647538185119629,0.6454784870147705,0.09457540512084961,0.0712700867527126,1106043392,75231,1827,55,125,0.007554443858539345,0.5379455346415698,0.1043904521208728,0.8606338663183593,0.017856757725143207,0.16058394160583941,0.017094017094017075,0.02912621359223301,0.9740010177947989
002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,0.5890665054321289,0.4701716899871826,0.09423089027404785,0.07101046742580848,1106043392,75231,1827,55,125,0.0079522384457813,0.6120344413295955,0.09539641983975271,0.8747507605152286,0.020914749237042205,0.10185185185185185,0.018761726078799227,0.014962593516209476,0.9740010177947989
002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,0.7662539482116699,0.6461052894592285,0.0954596996307373,0.07193647296965887,1106043392,75231,1827,55,125,0.00553116540794585,0.43597316780136164,0.10164442617815207,0.812332921756605,0.013029173667057099,0.0514018691588785,0.011976047904191604,0.01118328062241713,0.9740010177947989
002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,0.6476559638977051,0.5291094779968262,0.09402704238891602,0.07085685183791711,1106043392,75231,1827,55,125,0.019099363207664633,0.7999599519423308,0.07896465059996945,0.9302376900838435,0.05982816386760705,0.15172413793103448,0.054054054054053995,0.044521395003710114,0.7397045006471155
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,34.56057381629944,30.567898273468018,3.9677770137786865,0.052903693517049155,34699776,73482,100000,2,119,0.014819688760452983,0.7654754556049866,0.01871276315837328,0.8056569268423441,0.0552002837310643,0.3396078431372549,0.056910569105691,0.028329887831076844,0.852470596251996
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,32.85646867752075,28.85735559463501,3.974621534347534,0.05299495379130046,34699776,73482,100000,2,119,0.0087016636366072,0.7253826621232987,0.011208566366409153,0.7660014657227145,0.025498387522070152,0.3923878568192116,0.027120315581854012,0.015387174214077655,0.8717049999713201
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,32.81705069541931,29.023957014083862,3.7684123516082764,0.05024549802144368,34699776,73482,100000,2,119,0.014911680065831372,0.8099524288900732,0.018022658805906432,0.8391059546932618,0.047678453132649755,0.3420221169036335,0.048150193263390345,0.01798916730885937,0.7595413263524093
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,32.89079236984253,28.91026520729065,3.9559805393218994,0.05274640719095866,34699776,73482,100000,2,119,0.01758258794817824,0.8148338309499069,0.021080813997785563,0.8441805114640417,0.05410084871094251,0.35681911825298723,0.053147228559924785,0.03001744055498081,0.8564586292598942
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,33.00045680999756,29.12484884262085,3.8512160778045654,0.05134954770406087,34699776,73482,100000,2,119,0.01649116573212751,0.8139855968955276,0.020671603046993167,0.846848638994074,0.05503871042458318,0.43365047571357035,0.05593255192268141,0.03537813853469426,0.8556739428924608
