file,seed,wall_time_seconds,fit_time_seconds,score_time_seconds,infer_per_window_ms,peak_gpu_memory_bytes,param_count,n_samples,n_features,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
002_MSL_id_1_Sensor_tr_500_1st_900.csv,13,3.5877327919006348,3.5876920223236084,0.0,,0,0,1827,55,125,0.5942336504537461,0.994243091710052,0.895050649520099,0.9992932103325319,0.6666617014258696,0.88,0.7272727272727267,0.37096774193548393,0.996482616198561
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1337,3.5581555366516113,3.5581214427948,0.0,,0,0,1827,55,125,0.5942336504537461,0.994243091710052,0.895050649520099,0.9992932103325319,0.6666617014258696,0.88,0.7272727272727267,0.37096774193548393,0.996482616198561
002_MSL_id_1_Sensor_tr_500_1st_900.csv,17,3.5315194129943848,3.5314791202545166,0.0,,0,0,1827,55,125,0.5942336504537461,0.994243091710052,0.895050649520099,0.9992932103325319,0.6666617014258696,0.88,0.7272727272727267,0.37096774193548393,0.996482616198561
002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,3.527108907699585,3.5270769596099854,0.0,,0,0,1827,55,125,0.5942336504537461,0.994243091710052,0.895050649520099,0.9992932103325319,0.6666617014258696,0.88,0.7272727272727267,0.37096774193548393,0.996482616198561
002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,3.591519594192505,3.591477870941162,0.0,,0,0,1827,55,125,0.5942336504537461,0.994243091710052,0.895050649520099,0.9992932103325319,0.6666617014258696,0.88,0.7272727272727267,0.37096774193548393,0.996482616198561
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,1.3277881145477295,1.3277490139007568,0.0,,0,0,100000,2,119,0.1051820271371809,0.7322871776130135,0.03497586007352375,0.7565608036702443,0.18420749715253168,1.0,0.9999999999999996,0.3660377358490566,0.9989721316384469
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,1.332731008529663,1.3326940536499023,0.0,,0,0,100000,2,119,0.1051820271371809,0.7322871776130135,0.03497586007352375,0.7565608036702443,0.18420749715253168,1.0,0.9999999999999996,0.3660377358490566,0.9989721316384469
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,1.3304836750030518,1.3304471969604492,0.0,,0,0,100000,2,119,0.1051820271371809,0.7322871776130135,0.03497586007352375,0.7565608036702443,0.18420749715253168,1.0,0.9999999999999996,0.3660377358490566,0.9989721316384469
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,1.3163037300109863,1.3162641525268555,0.0,,0,0,100000,2,119,0.1051820271371809,0.7322871776130135,0.03497586007352375,0.7565608036702443,0.18420749715253168,1.0,0.9999999999999996,0.3660377358490566,0.9989721316384469
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,1.3282742500305176,1.328237771987915,0.0,,0,0,100000,2,119,0.1051820271371809,0.7322871776130135,0.03497586007352375,0.7565608036702443,0.18420749715253168,1.0,0.9999999999999996,0.3660377358490566,0.9989721316384469
078_SMD_id_22_Facility_tr_500_1st_326.csv,13,39.08086681365967,39.08081555366516,0.0,,0,0,23693,38,4,0.3739123205286385,0.8313461009157093,0.13214241431272433,0.39922141872060013,0.5840267891954384,0.702263989747971,0.32228405516573877,0.274268458947323,0.6705313619156227
078_SMD_id_22_Facility_tr_500_1st_326.csv,1337,39.0853705406189,39.085318088531494,0.0,,0,0,23693,38,4,0.3739123205286385,0.8313461009157093,0.13214241431272433,0.39922141872060013,0.5840267891954384,0.702263989747971,0.32228405516573877,0.274268458947323,0.6705313619156227
078_SMD_id_22_Facility_tr_500_1st_326.csv,17,38.80607295036316,38.8060188293457,0.0,,0,0,23693,38,4,0.3739123205286385,0.8313461009157093,0.13214241431272433,0.39922141872060013,0.5840267891954384,0.702263989747971,0.32228405516573877,0.274268458947323,0.6705313619156227
078_SMD_id_22_Facility_tr_500_1st_326.csv,2024,39.284940242767334,39.284889698028564,0.0,,0,0,23693,38,4,0.3739123205286385,0.8313461009157093,0.13214241431272433,0.39922141872060013,0.5840267891954384,0.702263989747971,0.32228405516573877,0.274268458947323,0.6705313619156227
078_SMD_id_22_Facility_tr_500_1st_326.csv,42,39.27411961555481,39.27406883239746,0.0,,0,0,23693,38,4,0.3739123205286385,0.8313461009157093,0.13214241431272433,0.39922141872060013,0.5840267891954384,0.702263989747971,0.32228405516573877,0.274268458947323,0.6705313619156227
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,13,133.69077229499817,133.69071912765503,0.0,,0,0,217624,25,125,0.1793429998429945,0.6485793220394996,0.16958385400414522,0.513963696824601,0.2708959733114809,0.6932194495213623,0.26109873038476794,0.18559863874508983,0.7079952292761749
